category,name,object,scene,x,y,schema,objectIndex,statsId,level,spriteI
stats,Hp,OverworldHp0,Overworld,118,6,StatsPickup,56354,11,0,18
stats,Hp,OverworldHp1,Overworld,73,-17,StatsPickup,56370,11,0,18
stats,Hp,OverworldHp2,Overworld,42,55.73,StatsPickup,56386,11,0,18
stats,Hp,OverworldHp3,Overworld,42,-180,StatsPickup,56402,11,0,18
stats,Hp,OverworldHp4,Overworld,91,168,StatsPickup,56418,11,0,18
stats,Hp,OverworldHp5,Overworld,-143,158,StatsPickup,56434,11,0,18
stats,Hp,OverworldHp6,Overworld,72,-106,StatsPickup,56450,11,0,18
stats,Hp,OverworldHp7,Overworld,-1,55.05,StatsPickup,56466,11,0,18
stats,Hp,OverworldHp8,Overworld,-126,196,StatsPickup,56482,11,0,18
stats,Hp,OverworldHp9,Overworld,205.15,-75.56,StatsPickup,56498,11,0,18
stats,Hp,OverworldHp10,Overworld,-178,-167,StatsPickup,56514,11,0,18
stats,Hp,OverworldHp11,Overworld,-176,-167,StatsPickup,56530,11,0,18
stats,Hp,OverworldHp12,Overworld,172,260,StatsPickup,56546,11,0,18
stats,Hp,OverworldHp13,Overworld,-2,-96,StatsPickup,56562,11,0,18
stats,Hp,OverworldHp14,Overworld,-275,134,StatsPickup,56578,11,0,18
stats,Hp,CaveHp0,Cave,-552,48,StatsPickup,84201,11,0,18
stats,Hp,CaveHp1,Cave,-738,34,StatsPickup,84217,11,0,18
stats,Hp,CaveHp2,Cave,-704,90,StatsPickup,84233,11,0,18
stats,Hp,CaveHp3,Cave,-810,186,StatsPickup,84249,11,0,18
stats,Hp,CaveHp4,Cave,-810,-147,StatsPickup,84265,11,0,18
stats,Hp,CaveHp5,Cave,-718,23,StatsPickup,84281,11,0,18
stats,Hp,CaveHp6,Cave,-656,244,StatsPickup,84297,11,0,18
stats,Hp,CaveHp7,Cave,-648,86,StatsPickup,84313,11,0,18
stats,Hp,CaveExtraHp0,CaveExtra,-1411,-84,StatsPickup,106562,11,0,18
stats,Hp,Dungeon1Hp0,Dungeon1,564,236,StatsPickup,108909,11,0,18
stats,Hp,Dungeon2Hp0,Dungeon2,908,368,StatsPickup,112705,11,0,18
stats,Hp,Dungeon3Hp0,Dungeon3,921,-47,StatsPickup,125361,11,0,18
stats,Hp,Temple1Hp0,Temple1,-839,-409,StatsPickup,137625,11,0,18
